Name,User_id,Followers,Post,Hashtags,Posted_time,Favourites
Kevin,215298957,91674,I finally turn over a new leaf in the sims 4 and open a prison. I'm a good guy. #ad https://t.co/WA0iJPcGKt,ad,Tue Jan 29 20:03:33 +0000 2019,666
Kevin,215298957,91674,I finally turn over a new leaf in the sims 4 and open a prison. I'm a good guy. #ad https://t.co/WA0iJOV5SV,ad,Tue Jan 29 20:00:29 +0000 2019,721
Kevin,215298957,91674,"@KevinNoContext oh no, this profile could be dangerous",[],Mon Jan 28 21:09:51 +0000 2019,24
Kevin,215298957,91674,Crash Bandicoot would have been better off without N'sane Kevin (that's my rap name) https://t.co/5W0rmNfe1A,[],Mon Jan 28 20:00:23 +0000 2019,773
Kevin,215298957,91674,"Super Seducer 2 allows me to be a creepy old man, I jump at the chance https://t.co/Uf33NWdPkR",[],Sun Jan 27 20:00:20 +0000 2019,789
Kevin,215298957,91674,@RTGameCrowd already started sending my videos via carrier pigeon and smoke signals,[],Sat Jan 26 22:11:23 +0000 2019,486
Kevin,215298957,91674,"7 Sins but I do way more than 7 sins, are you even surprised? https://t.co/jPq5YiWjwW",[],Sat Jan 26 20:00:22 +0000 2019,582
Kevin,215298957,91674,"@Dano1984 Cheers dude, glad you liked it!",[],Sat Jan 26 16:30:44 +0000 2019,12
Kevin,215298957,91674,"Seems like the glitch is still ongoing. Hope tonight's video shows up for you all, I think it's a good one!",[],Sat Jan 26 16:30:27 +0000 2019,1451
Kevin,215298957,91674,Yesterday's video didn't show up for many people and also wasn't showing up on my channel due to that pesky YouTube… https://t.co/XtZPZm6KwL,[],Sat Jan 26 16:18:58 +0000 2019,728
Kevin,215298957,91674,@Jollyghost_ Ironically I have the same reaction,[],Sat Jan 26 15:22:20 +0000 2019,284
Kevin,215298957,91674,"Resident Evil 2 gives me 30 minutes to save everyone, I save no one https://t.co/iE9YHvOuV5",[],Fri Jan 25 20:00:28 +0000 2019,634
Kevin,215298957,91674,@aisslinpepe Sorry it took so long,[],Fri Jan 25 01:11:57 +0000 2019,12
Kevin,215298957,91674,"Goat Simulator isn't just about goats, it's also about dolphins in wheelchairs https://t.co/Ol8ROK1Y72",[],Thu Jan 24 20:00:19 +0000 2019,909
Kevin,215298957,91674,"Species: Artificial Life allows anyone to evolve anything, BIG MISTAKE https://t.co/h0bEnDlFdZ",[],Wed Jan 23 20:00:20 +0000 2019,558
Kevin,215298957,91674,@SonOfGodAndMan Wtf Jesus,[],Wed Jan 23 11:20:06 +0000 2019,4215
